page,mbfclink,bias_rating,factual_reporting,country,media_type,trafficpopularity,credibility_rating,source,domain,leaning,press_freedom_rank
Cecil Whig,https://mediabiasfactcheck.com/cecil-whig-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.cecildaily.com/,cecildaily.com,leftcenter,
Censor.NET,https://mediabiasfactcheck.com/censor-net/,LEFT-CENTER,MOSTLY FACTUAL,Ukraine,Website,High Traffic,HIGH CREDIBILITY,https://censor.net/,censor.net,leftcenter,
Center for Advanced Defense studies,https://mediabiasfactcheck.com/center-for-advanced-defense-studies/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://c4ads.org/,c4ads.org,leftcenter,
Center for Global Development,https://mediabiasfactcheck.com/center-for-global-development/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.cgdev.org/,cgdev.org,leftcenter,
Center for Inquiry,https://mediabiasfactcheck.com/center-for-inquiry/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://centerforinquiry.org,centerforinquiry.org,leftcenter,
Center for International Policy,https://mediabiasfactcheck.com/center-for-international-policy/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.internationalpolicy.org/,internationalpolicy.org,leftcenter,
Center for a New American Security,https://mediabiasfactcheck.com/center-for-a-new-american-security/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.cnas.org/,cnas.org,leftcenter,
Center for Popular Democracy,https://mediabiasfactcheck.com/center-popular-democracy/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,http://populardemocracy.org/,populardemocracy.org,leftcenter,MOSTLY FREE
Center for Public Integrity,https://mediabiasfactcheck.com/center-for-public-integrity/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.publicintegrity.org/,publicintegrity.org,leftcenter,
Center on Budget and Policy Priorities,https://mediabiasfactcheck.com/the-center-on-budget-and-policy-priorities/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.cbpp.org/,cbpp.org,leftcenter,MOSTLY FREE
Central News Agency  / Focus Taiwan,https://mediabiasfactcheck.com/central-news-agency-cna-focus-taiwan/,LEFT-CENTER,HIGH,Taiwan,News Agency,Medium Traffic,HIGH CREDIBILITY,http://focustaiwan.tw/,focustaiwan.tw,leftcenter,
Chalkbeat,https://mediabiasfactcheck.com/chalkbeat-bias/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.chalkbeat.org/,chalkbeat.org,leftcenter,
Channel 4 News,https://mediabiasfactcheck.com/channel-4-news-uk/,LEFT-CENTER,HIGH,United Kingdom,TV Station,High Traffic,HIGH CREDIBILITY,https://www.channel4.com/news/,channel4.com,leftcenter,MOSTLY FREE
Charleston Gazette Mail,https://mediabiasfactcheck.com/charleston-gazette-mail/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.wvgazettemail.com/,wvgazettemail.com,leftcenter,
Charlotte Observer,https://mediabiasfactcheck.com/charlotte-observer/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.charlotteobserver.com,charlotteobserver.com,leftcenter,
Cheddar,https://mediabiasfactcheck.com/cheddar/,LEFT-CENTER,HIGH,USA,TV Station,Medium Traffic,HIGH CREDIBILITY,https://cheddar.com,cheddar.com,leftcenter,MOSTLY FREE
Chicago Sun-Times,https://mediabiasfactcheck.com/chicago-sun-times/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://chicago.suntimes.com/,suntimes.com,leftcenter,MOSTLY FREE
Chilliwack Progress,https://mediabiasfactcheck.com/chilliwack-progress-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.theprogress.com/,theprogress.com,leftcenter,
China Africa Project,https://mediabiasfactcheck.com/the-china-africa-project-cap/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://chinaglobalsouth.com/,chinaglobalsouth.com,leftcenter,
Citizen Truth,https://mediabiasfactcheck.com/citizen-truth/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://citizentruth.org,citizentruth.org,leftcenter,
Citizens for Responsibility and Ethics in Washington,https://mediabiasfactcheck.com/citizens-responsibility-ethics-washington-crew/,LEFT-CENTER,MOSTLY FACTUAL,USA,Organization/Foundation,Minimal Traffic,MEDIUM CREDIBILITY,https://www.citizensforethics.org,citizensforethics.org,leftcenter,MOSTLY FREE
Citizens for Tax Justice,https://mediabiasfactcheck.com/citizens-for-tax-justice/,LEFT-CENTER,MOSTLY FACTUAL,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://ctj.org/,ctj.org,leftcenter,
CityLab,https://mediabiasfactcheck.com/citylab/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.bloomberg.com/citylab,bloomberg.com,leftcenter,
City and State New York,https://mediabiasfactcheck.com/city-and-state-new-york/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://www.cityandstateny.com/,cityandstateny.com,leftcenter,
Clarington This Week,https://mediabiasfactcheck.com/clarington-this-week-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.durhamregion.com/clarington-on/,durhamregion.com,leftcenter,
Clarion Ledger,https://mediabiasfactcheck.com/clarion-ledger/,,HIGH,USA,,,,https://www.clarionledger.com/,clarionledger.com,leftcenter,
Clean Technica,https://mediabiasfactcheck.com/clean-technica/,LEFT-CENTER,HIGH,USA (45/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://cleantechnica.com/,cleantechnica.com,leftcenter,
Clinton Herald,https://mediabiasfactcheck.com/clinton-herald-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.clintonherald.com/,clintonherald.com,leftcenter,
Cloverdale Reporter,https://mediabiasfactcheck.com/cloverdale-reporter-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.cloverdalereporter.com/,cloverdalereporter.com,leftcenter,
CNBC,https://mediabiasfactcheck.com/cnbc/,LEFT-CENTER,MOSTLY FACTUAL,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.cnbc.com/,cnbc.com,leftcenter,
COED,https://mediabiasfactcheck.com/coed-com/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://coed.com/,coed.com,leftcenter,
Columbia Journalism Review,https://mediabiasfactcheck.com/columbia-journalism-review/,LEFT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.cjr.org/,cjr.org,leftcenter,MOSTLY FREE
Columbia Reports,https://mediabiasfactcheck.com/columbia-reports/,LEFT-CENTER,MIXED,Columbia,Organization/Foundation,Minimal Traffic,MEDIUM CREDIBILITY,https://colombiareports.com,colombiareports.com,leftcenter,
Columbus Dispatch,https://mediabiasfactcheck.com/columbus-dispatch/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.dispatch.com/,dispatch.com,leftcenter,
Committee to Investigate Russia,https://mediabiasfactcheck.com/committee-investigate-russia/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://investigaterussia.org,investigaterussia.org,leftcenter,
Common Cause,https://mediabiasfactcheck.com/common-cause/,LEFT-CENTER,HIGH,USA|,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.commoncause.org,commoncause.org,leftcenter,MOSTLY FREE
Commonweal Magazine,https://mediabiasfactcheck.com/commonweal-magazine/,LEFT-CENTER,HIGH,USA,Magazine,Medium Traffic,HIGH CREDIBILITY,https://www.commonwealmagazine.org,commonwealmagazine.org,leftcenter,
CommonWealth fund,https://mediabiasfactcheck.com/commonwealth-fund/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.commonwealthfund.org/,commonwealthfund.org,leftcenter,
Complex,https://mediabiasfactcheck.com/complex/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.complex.com/,complex.com,leftcenter,
Connecticut Post,https://mediabiasfactcheck.com/connecticut-post/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.ctpost.com,ctpost.com,leftcenter,
Consortium News,https://mediabiasfactcheck.com/consortium-news/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://consortiumnews.com/,consortiumnews.com,leftcenter,
Constitution Project,https://mediabiasfactcheck.com/constitution-project/,LEFT-CENTER,MOSTLY FACTUAL,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.pogo.org/the-constitution-project,pogo.org,leftcenter,
Corpus Christi Caller-Times,https://mediabiasfactcheck.com/corpus-christi-caller-times/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.caller.com,caller.com,leftcenter,
CrossCut.com,https://mediabiasfactcheck.com/crosscut-com/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://crosscut.com/,crosscut.com,leftcenter,
CT Mirror,https://mediabiasfactcheck.com/ct-mirror/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://ctmirror.org/,ctmirror.org,leftcenter,
Cullman Times,https://mediabiasfactcheck.com/cullman-times-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.cullmantimes.com/,cullmantimes.com,leftcenter,
Daily Commercial,https://mediabiasfactcheck.com/daily-commercial-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.dailycommercial.com/,dailycommercial.com,leftcenter,MOSTLY FREE
Daily Hampshire Gazette,https://mediabiasfactcheck.com/daily-hampshire-gazette/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.gazettenet.com,gazettenet.com,leftcenter,
Daily Mirror,https://mediabiasfactcheck.com/daily-mirror/,LEFT-CENTER,MIXED,United Kingdom,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.mirror.co.uk,mirror.co.uk,leftcenter,MOSTLY FREE
Daily Nation,https://mediabiasfactcheck.com/the-daily-nation/,LEFT-CENTER,MIXED,Kenya,Website,High Traffic,MEDIUM CREDIBILITY,https://nation.africa/,nation.africa,leftcenter,
Daily News Journal,https://mediabiasfactcheck.com/daily-news-journal/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.dnj.com/,dnj.com,leftcenter,
Danville Commercial-News,https://mediabiasfactcheck.com/danville-commercial-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.commercial-news.com/,commercial-news.com,leftcenter,
Dawn,https://mediabiasfactcheck.com/dawn/,LEFT-CENTER,MOSTLY FACTUAL,Pakistan,Newspaper,High Traffic,MEDIUM CREDIBILITY,https://www.dawn.com/,dawn.com,leftcenter,LIMITED FREEDOM
DCist,https://mediabiasfactcheck.com/dcist/,LEFT-CENTER,HIGH,USA,Website,Medium Traffic,HIGH CREDIBILITY,https://dcist.com/,dcist.com,leftcenter,
DCReport.org,https://mediabiasfactcheck.com/dcreport-org/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.dcreport.org/,dcreport.org,leftcenter,
Deadline Hollywood,https://mediabiasfactcheck.com/deadline-hollywood/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://deadline.com/,deadline.com,leftcenter,MOSTLY FREE
Deccan Herald,https://mediabiasfactcheck.com/deccan-herald/,LEFT-CENTER,MIXED,India,Newspaper,High Traffic,MEDIUM CREDIBILITY,http://www.deccanherald.com/,deccanherald.com,leftcenter,LIMITED FREEDOM
Debunking Denialism,https://mediabiasfactcheck.com/debunking-denialism/,LEFT-CENTER,HIGH,Sweden,Website,Minimal Traffic,HIGH CREDIBILITY,https://debunkingdenialism.com,debunkingdenialism.com,leftcenter,
Delaware Online – The News Journal,https://mediabiasfactcheck.com/delaware-online-news-journal/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.delawareonline.com/,delawareonline.com,leftcenter,MOSTLY FREE
Delo,https://mediabiasfactcheck.com/delo/,LEFT-CENTER,MOSTLY FACTUAL,Slovenia,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.delo.si/,delo.si,leftcenter,
Democracy 21,https://mediabiasfactcheck.com/democracy-21/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://democracy21.org/,democracy21.org,leftcenter,MOSTLY FREE
Democrat and Chronicle,https://mediabiasfactcheck.com/democrat-and-chronicle/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.democratandchronicle.com/,democratandchronicle.com,leftcenter,
Demos,https://mediabiasfactcheck.com/demos/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://www.demos.org/,demos.org,leftcenter,MOSTLY FREE
Denton Times Record,https://mediabiasfactcheck.com/denton-times-record-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.myeasternshoremd.com/times_record/,myeasternshoremd.com,leftcenter,
Denver Post,https://mediabiasfactcheck.com/denver-post/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.denverpost.com/,denverpost.com,leftcenter,MOSTLY FREE
Denver Westword,https://mediabiasfactcheck.com/denver-westword/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.westword.com/,westword.com,leftcenter,
Der Standard,https://mediabiasfactcheck.com/der-standard-bias/,LEFT-CENTER,HIGH,Austria (18/180 Press Freedom),Newspaper,High Traffic,HIGH CREDIBILITY,https://www.derstandard.at,derstandard.at,leftcenter,
Detroit Free Press,https://mediabiasfactcheck.com/detroit-free-press/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.freep.com/,freep.com,leftcenter,MOSTLY FREE
Die Zeit,https://mediabiasfactcheck.com/die-zeit/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://www.zeit.de/,zeit.de,leftcenter,
Digg,https://mediabiasfactcheck.com/digg/,LEFT-CENTER,MOSTLY FACTUAL,USA,Website,High Traffic,HIGH CREDIBILITY,https://digg.com/,digg.com,leftcenter,
Diply,https://mediabiasfactcheck.com/diply/,LEFT-CENTER,MIXED,Canada,Website,Medium Traffic,MEDIUM CREDIBILITY,https://diply.com/,diply.com,leftcenter,
DiversityInc,https://mediabiasfactcheck.com/diversityinc/,LEFT-CENTER,HIGH,USA,Website,Minimal Traffic,HIGH CREDIBILITY,http://www.diversityinc.com,diversityinc.com,leftcenter,MOSTLY FREE
Dorchester Star,https://mediabiasfactcheck.com/dorchester-star-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.myeasternshoremd.com/dorchester_star/,myeasternshoremd.com,leftcenter,
Dundalk Eagle,https://mediabiasfactcheck.com/dundalk-eagle-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.dundalkeagle.com/,dundalkeagle.com,leftcenter,
Dundas Star,https://mediabiasfactcheck.com/dundas-star-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.thespec.com/local-dundas,thespec.com,leftcenter,
Dutch Review,https://mediabiasfactcheck.com/dutch-review/,LEFT-CENTER,MOSTLY FACTUAL,Netherlands,Website,Medium Traffic,HIGH CREDIBILITY,https://dutchreview.com/,dutchreview.com,leftcenter,MOSTLY FREE
DW News,https://mediabiasfactcheck.com/dw-news/,LEFT-CENTER,HIGH,Germany,TV Station,High Traffic,HIGH CREDIBILITY,http://www.dw.com/,dw.com,leftcenter,MOSTLY FREE
Earth Institute,https://mediabiasfactcheck.com/earth-institute/,LEFT-CENTER,HIGH,USA,Organization/Foundation,High Traffic,HIGH CREDIBILITY,http://earth.columbia.edu/,columbia.edu,leftcenter,
EarthJustice,https://mediabiasfactcheck.com/earthjustice/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://earthjustice.org,earthjustice.org,leftcenter,
East Bay Times,https://mediabiasfactcheck.com/east-bay-times/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.eastbaytimes.com/,eastbaytimes.com,leftcenter,MOSTLY FREE
East Gwillimbury Express,https://mediabiasfactcheck.com/east-gwillimbury-express-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.thestar.com/local-east-gwillimbury,thestar.com,leftcenter,
Econofact,https://mediabiasfactcheck.com/econofact/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Minimal Traffic,HIGH CREDIBILITY,https://econofact.org/,econofact.org,leftcenter,
Economic Policy Institute,https://mediabiasfactcheck.com/economic-policy-institute/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.epi.org,epi.org,leftcenter,MOSTLY FREE
Economics.Help,https://mediabiasfactcheck.com/economics-help/,LEFT-CENTER,HIGH,United Kingdom,Website,Medium Traffic,HIGH CREDIBILITY,https://www.economicshelp.org,economicshelp.org,leftcenter,MOSTLY FREE
Effingham Daily News,https://mediabiasfactcheck.com/effingham-daily-news-bias/,LEFT-CENTER,HIGH,USA,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.effinghamdailynews.com/,effinghamdailynews.com,leftcenter,
Egyptian Streets,https://mediabiasfactcheck.com/egyptian-streets/,LEFT-CENTER,MIXED,Egypt,Website,Medium Traffic,MEDIUM CREDIBILITY,https://egyptianstreets.com/,egyptianstreets.com,leftcenter,TOTAL OPPRESSION
EJ Insight,https://mediabiasfactcheck.com/ej-insight-eji/,LEFT-CENTER,MIXED,Hong Kong,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://www.ejinsight.com/,ejinsight.com,leftcenter,LIMITED FREEDOM
elDiario.es,https://mediabiasfactcheck.com/eldiario-es/,LEFT-CENTER,HIGH,Spain,Online Newspaper,High Traffic,HIGH CREDIBILITY,www.eldiario.es,eldiario.es,leftcenter,
El Diario NY,https://mediabiasfactcheck.com/el-diario-ny/,LEFT-CENTER,HIGH,USA,Newspaper,High Traffic,HIGH CREDIBILITY,https://eldiariony.com/,eldiariony.com,leftcenter,
El Pais,https://mediabiasfactcheck.com/el-pais/,LEFT-CENTER,HIGH,Spain,Newspaper,High Traffic,HIGH CREDIBILITY,https://elpais.com/,elpais.com,leftcenter,
El Paso Times,https://mediabiasfactcheck.com/el-paso-times/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.elpasotimes.com/,elpasotimes.com,leftcenter,
Electronic Frontier Foundation,https://mediabiasfactcheck.com/electronic-frontier-foundation/,LEFT-CENTER,HIGH,USA,Organization/Foundation,Medium Traffic,HIGH CREDIBILITY,https://www.eff.org/,eff.org,leftcenter,MOSTLY FREE
Emerging Europe,https://mediabiasfactcheck.com/emerging-europe/,LEFT-CENTER,MOSTLY FACTUAL,United Kingdom,Website,Minimal Traffic,MEDIUM CREDIBILITY,https://emerging-europe.com/about/,emerging-europe.com,leftcenter,
Empty Wheel,https://mediabiasfactcheck.com/empty-wheel/,LEFT-CENTER,HIGH,USA (44/180 Press Freedom),Website,Medium Traffic,HIGH CREDIBILITY,https://www.emptywheel.net/,emptywheel.net,leftcenter,
Engadget,https://mediabiasfactcheck.com/engadget/,LEFT-CENTER,HIGH,USA,Website,High Traffic,HIGH CREDIBILITY,https://www.engadget.com/,engadget.com,leftcenter,
Entertainment Weekly,https://mediabiasfactcheck.com/entertainment-weekly/,LEFT-CENTER,HIGH,USA,Magazine,High Traffic,HIGH CREDIBILITY,https://ew.com,ew.com,leftcenter,
Erin Advocate,https://mediabiasfactcheck.com/erin-advocate-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.orangeville.com/erin-on-news/,orangeville.com,leftcenter,
ESPN,https://mediabiasfactcheck.com/espn/,LEFT-CENTER,HIGH,USA,TV Station,High Traffic,HIGH CREDIBILITY,https://www.espn.com/,espn.com,leftcenter,
Etobicoke Guardian,https://mediabiasfactcheck.com/etobicoke-guardian-bias/,LEFT-CENTER,HIGH,Canada,Newspaper,Minimal Traffic,HIGH CREDIBILITY,https://www.thestar.com/local-toronto-etobicoke,thestar.com,leftcenter,
Eugene Register-Guard,https://mediabiasfactcheck.com/eugene-register-guard/,LEFT-CENTER,HIGH,USA,Newspaper,Medium Traffic,HIGH CREDIBILITY,https://www.registerguard.com/,registerguard.com,leftcenter,
EU Observer,https://mediabiasfactcheck.com/eu-observer/,,HIGH,Belgium,,,,https://euobserver.com/,euobserver.com,leftcenter,
EurActiv,https://mediabiasfactcheck.com/euractiv/,,HIGH,Belgium,,,,https://www.euractiv.com/,euractiv.com,leftcenter,
Eurasia Review,https://mediabiasfactcheck.com/eurasia-review/,,HIGH,USA,,,,https://www.eurasiareview.com/,eurasiareview.com,leftcenter,
Euromaiden Press,https://mediabiasfactcheck.com/euromaidan-press/,LEFT-CENTER,HIGH,Ukraine,Newspaper (Online),Medium Traffic,HIGH CREDIBILITY,http://euromaidanpress.com/,euromaidanpress.com,leftcenter,LIMTED FREEDOM
